Time:            19:21:24
Temperature:     -55.0 °C
Maximum current: 2.00 A
Number of steps: 10
Samples:         20
Measurements:    3
Delay:           0.1 s
Comment:         

First column : Current through magnets in A
Second column: Magnetic field in mT
Third column : Angle of rotation in °

-2.00     25.67   -0.0558
-1.80     24.78   -0.0540
-1.60     22.41   -0.0494
-1.40     19.66   -0.0478
-1.20     16.77   -0.0401
-1.00     14.20   -0.0352
-0.80     11.21   -0.0251
-0.60      8.45   -0.0176
-0.40      5.64   -0.0153
-0.20      2.82   0.0004
 0.00      0.26   0.0108
 0.20     -2.29   0.0357
 0.40     -4.58   0.0447
 0.60     -6.96   0.0680
 0.80     -9.33   0.1050
 1.00    -11.55   0.1431
 1.20    -14.33   0.1555
 1.40    -16.68   0.1576
 1.60    -19.22   0.1572
 1.80    -21.94   0.1630
 2.00    -24.68   0.1678
 1.80    -24.65   0.1565
 1.60    -22.89   0.1545
 1.40    -20.45   0.1603
 1.20    -17.59   0.1600
 1.00    -14.88   0.1554
 0.80    -11.65   0.1440
 0.60     -9.43   0.1443
 0.40     -6.37   0.1373
 0.20     -3.93   0.1430
 0.00     -1.05   0.1378
-0.20      1.83   0.1315
-0.40      4.00   0.1302
-0.60      6.37   0.1165
-0.80      8.47   0.0602
-1.00     10.85   0.0287
-1.20     13.27   0.0180
-1.40     15.64   -0.0021
-1.60     17.97   -0.0162
-1.80     21.00   -0.0228
-2.00     23.82   -0.0283
