Time:            18:38:23
Temperature:     -55.0 °C
Maximum current: 2.00 A
Number of steps: 10
Samples:         20
Measurements:    3
Delay:           0.1 s
Comment:         

First column : Current through magnets in A
Second column: Magnetic field in mT
Third column : Angle of rotation in °

-2.00     25.41   0.5318
-1.80     24.74   0.5312
-1.60     22.25   0.5248
-1.40     19.59   0.5170
-1.20     16.83   0.5081
-1.00     14.09   0.4975
-0.80     11.28   0.4834
-0.60      8.44   0.4691
-0.40      5.75   0.4522
-0.20      2.92   0.4361
 0.00      0.46   0.4176
 0.20     -2.22   0.3977
 0.40     -4.55   0.3757
 0.60     -6.83   0.3551
 0.80     -9.18   0.3368
 1.00    -11.41   0.3189
 1.20    -13.80   0.3146
 1.40    -16.41   0.3063
 1.60    -18.92   0.2923
 1.80    -21.74   0.2765
 2.00    -24.57   0.2648
 1.80    -24.47   0.2620
 1.60    -22.76   0.2693
 1.40    -20.33   0.2733
 1.20    -17.67   0.2825
 1.00    -14.79   0.2915
 0.80    -12.11   0.3016
 0.60     -9.36   0.3141
 0.40     -6.54   0.3297
 0.20     -3.86   0.3452
 0.00     -1.16   0.3617
-0.20      1.41   0.3796
-0.40      3.77   0.4009
-0.60      6.04   0.4239
-0.80      8.29   0.4466
-1.00     10.54   0.4678
-1.20     13.02   0.4679
-1.40     15.52   0.4715
-1.60     18.11   0.4879
-1.80     21.08   0.5050
-2.00     23.84   0.5207
