Time:            18:37:50
Temperature:     -55.0 °C
Maximum current: 2.00 A
Number of steps: 10
Samples:         20
Measurements:    3
Delay:           0.1 s
Comment:         

First column : Current through magnets in A
Second column: Magnetic field in mT
Third column : Angle of rotation in °

-2.00     25.44   0.5291
-1.80     24.88   0.5294
-1.60     22.42   0.5244
-1.40     19.68   0.5136
-1.20     16.84   0.5054
-1.00     14.13   0.4937
-0.80     11.28   0.4813
-0.60      8.47   0.4650
-0.40      5.70   0.4525
-0.20      3.02   0.4353
 0.00      0.34   0.4170
 0.20     -2.17   0.3974
 0.40     -4.49   0.3770
 0.60     -6.86   0.3549
 0.80     -9.17   0.3337
 1.00    -11.53   0.3186
 1.20    -13.85   0.3119
 1.40    -16.57   0.3043
 1.60    -19.05   0.2882
 1.80    -21.76   0.2742
 2.00    -24.61   0.2609
 1.80    -24.45   0.2620
 1.60    -22.77   0.2663
 1.40    -20.29   0.2741
 1.20    -17.60   0.2797
 1.00    -14.88   0.2906
 0.80    -12.15   0.3029
 0.60     -9.39   0.3139
 0.40     -6.64   0.3267
 0.20     -3.89   0.3413
 0.00     -1.16   0.3596
-0.20      1.47   0.3776
-0.40      3.74   0.3988
-0.60      6.06   0.4203
-0.80      8.35   0.4449
-1.00     10.55   0.4680
-1.20     13.02   0.4666
-1.40     15.51   0.4709
-1.60     18.24   0.4867
-1.80     20.94   0.5028
-2.00     23.88   0.5191
